ID,COO,Household Sex,Poverty Threshold,Governerate,ChildAge,ChildSex,Unaccompanied and Separated Children,special protection needs,Children with disability
544,SYR,F,,IRBID,6,M,,,
545,SYR,F,absolute,Irbid,9,F,,,
546,SYR,M,,IRBID,16,F,,,
547,SYR,M,,Jerash,16,M,,,
548,SYR,M,absolute,Irbid,1,F,,,
549,SYR,M,,IRBID,12,M,,,
550,SYR,M,,IRBID,8,F,,,
551,SYR,F,,IRBID,14,M,,,
552,SYR,F,,IRBID,15,M,,,
553,SYR,M,,Jerash,14,F,,,
554,SYR,F,abject,Irbid,14,F,,,
555,SYR,M,absolute,Irbid,11,M,,,
556,SYR,M,absolute,Irbid,2,F,,,
557,SYR,F,abject,Mafraq,9,F,,,
558,SYR,M,abject,Irbid,10,M,,,
559,SYR,F,absolute,Irbid,12,M,,,
560,SYR,F,absolute,Irbid,13,M,,,
561,SYR,F,,IRBID,17,F,,,
562,SYR,F,absolute,Irbid,9,M,,,
563,SYR,M,abject,Irbid,13,M,,,
564,SYR,M,abject,Irbid,16,F,,,
565,SYR,M,abject,Irbid,9,M,,,
566,SYR,M,abject,Irbid,16,M,,,
567,SYR,F,abject,Irbid,6,M,,,
568,SYR,F,absolute,Irbid,17,M,,,
569,SYR,F,abject,Irbid,14,F,,,DS
570,SYR,F,absolute,Irbid,15,F,,,
571,SYR,F,,IRBID,16,F,,,
572,SYR,F,,IRBID,17,M,,,
573,SYR,F,abject,Irbid,16,M,,,
574,SYR,F,abject,Irbid,6,F,,,
575,SYR,M,,IRBID,14,M,,,
576,SYR,F,,Jerash,11,F,,,
577,SYR,F,absolute,Irbid,13,F,,,
578,SYR,M,,IRBID,16,F,,,
579,SYR,F,abject,Irbid,12,M,,,
580,SYR,F,absolute,Irbid,9,M,,,
581,SYR,F,,Jerash,13,M,,,
582,SYR,M,absolute,Irbid,5,M,,,
583,SYR,M,,Mafraq,3,M,,,
584,SYR,M,abject,Irbid,16,F,,,
585,SYR,M,,Mafraq,7,F,,,
586,SYR,F,abject,Irbid,10,M,,,
587,SYR,M,abject,Irbid,14,M,,,
588,SYR,F,,Irbid,16,M,,,
589,SYR,M,abject,Balqa,9,M,,,
590,SYR,M,absolute,Irbid,10,F,,,
591,SYR,F,absolute,Irbid,11,F,,,
592,SYR,F,absolute,Irbid,6,F,,,
593,SYR,M,abject,Irbid,9,M,,,
594,SYR,F,abject,Irbid,12,F,,,
595,SYR,M,abject,Amman,3,M,,,
596,SYR,F,abject,Irbid,4,M,,,
597,SYR,M,abject,Balqa,7,F,,,
598,SYR,F,,Jerash,8,M,,,
599,SYR,M,absolute,Irbid,2,M,,,
600,SYR,M,abject,Irbid,6,F,,,
601,SYR,F,,Jerash,15,F,,,
602,SYR,M,,Mafraq,8,F,,,
603,SYR,F,abject,Irbid,14,M,,,
604,SYR,M,abject,Amman,14,M,,,
